date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-05-17,monitor-runners,claude-opus-4-7,61,23423,1478174,49313
2026-05-18,monitor-runners,claude-opus-4-7,93,40359,3087711,154578
2026-05-18,narrative-tracker,claude-opus-4-7,8203,21437,1382591,93267
2026-05-18,workflow_dispatch perps-scan,claude-opus-4-7,53,22572,1461239,63440
2026-05-18,perps-scan,claude-opus-4-7,27,6454,635184,39599
2026-05-18,perps-scan,claude-opus-4-7,27,8876,649368,43647
2026-05-18,coinglass-probe,claude-opus-4-7,55,13981,1204306,44658
2026-05-18,coinglass-probe,claude-opus-4-7,31,8509,713329,39155
2026-05-18,perps-scan,claude-opus-4-7,73,49278,2813300,93508
2026-05-18,perps-scan,claude-opus-4-7,55,46878,2637978,136130
2026-05-18,market-context-refresh,claude-sonnet-4-6,15,16570,535697,52010
2026-05-18,perps-scan,claude-opus-4-7,3883,48079,1439833,209860
2026-05-18,perps-brief,claude-opus-4-7,1273,17580,1457466,83879
2026-05-18,morning-macro,claude-opus-4-7,43,11063,943688,35046
2026-05-18,daily-ops-review,claude-opus-4-7,23328,12490,1165202,63443
2026-05-19,market-context-refresh,claude-sonnet-4-6,766,23946,726126,121786
